SAMPLE_ID	mutations	cna
TARGET-21-PASFJJ-41	NA	NA
TARGET-21-PASFLG-09	NA	NA
TARGET-21-PASFLG-41	NA	NA
TARGET-21-PASHMK-09	NA	NA
TARGET-21-PASIGA-09	NA	NA
TARGET-21-PASIGA-41	NA	NA
TARGET-21-PASLZE-09	NA	NA
TARGET-21-PASLZE-41	NA	NA
TARGET-21-PASNKZ-09	NA	NA
TARGET-21-PASNKZ-41	NA	NA
TARGET-21-PASSLT-09	NA	NA
TARGET-21-PASSLT-41	NA	NA
TARGET-21-PASTZK-09	NA	NA
TARGET-21-PASTZK-41	NA	NA
TARGET-21-PASVJS-09	NA	NA
TARGET-21-PASVJS-41	NA	NA
TARGET-21-PASYEJ-09	NA	NA
TARGET-21-PASYEJ-41	NA	NA
TARGET-21-PASYWA-09	NA	NA
TARGET-21-PASYWA-41	NA	NA
TARGET-21-PATAIJ-09	NA	NA
TARGET-21-PATAIJ-42	NA	NA
TARGET-21-PATHIU-09	NA	NA
TARGET-21-PATHIU-41	NA	NA
TARGET-21-PATISD-09	NA	NA
TARGET-21-PATISD-41	NA	NA
TARGET-21-PATJMY-09	NA	NA
TARGET-21-PATJMY-41	NA	NA
TARGET-21-PATKBK-03	NA	NA
TARGET-21-PATKBK-41	NA	NA
TARGET-21-PATKKJ-09	NA	NA
TARGET-21-PATKKJ-41	NA	NA
TARGET-21-PATKWH-09	NA	NA
TARGET-21-PATKWH-41	NA	NA
TARGET-20-PAPRND-09	NA	NA
TARGET-20-PAPSCM-09	NA	NA
TARGET-20-PAPUEM-03	NA	NA
TARGET-20-PAPUPC-09	NA	NA
TARGET-20-PAPUSR-09	NA	NA
TARGET-20-PAPVBS-09	NA	NA
TARGET-20-PAPVET-09	NA	NA
TARGET-20-PAPVWB-09	NA	NA
TARGET-20-PAPWFN-09	NA	NA
TARGET-20-PAPXAZ-09	NA	NA
TARGET-20-PAPXJT-09	NA	NA
TARGET-20-PAPYUI-09	NA	NA
TARGET-20-PAPZCL-09	NA	NA
TARGET-20-PAPZCZ-03	NA	NA
TARGET-20-PAPZFV-09	NA	NA
TARGET-20-PAPZJT-03	NA	NA
TARGET-20-PAPZTC-09	NA	NA
TARGET-20-PAPZTU-09	NA	NA
TARGET-20-PAPZXN-09	NA	NA
TARGET-20-PAPZYJ-09	NA	NA
TARGET-20-PAPZYS-09	NA	NA
TARGET-20-PAPZZE-09	NA	NA
TARGET-20-PARAEF-09	NA	NA
TARGET-20-PARAEG-09	NA	NA
TARGET-20-PARAFA-09	NA	NA
TARGET-20-PARAIC-09	NA	NA
TARGET-20-PARAUM-09	NA	NA
TARGET-20-PARBCV-09	NA	NA
TARGET-20-PARBEL-09	NA	NA
TARGET-20-PARBGF-09	NA	NA
TARGET-20-PARBLP-09	NA	NA
TARGET-20-PARBLV-03	NA	NA
TARGET-20-PARBZJ-09	NA	NA
TARGET-20-PARCAU-09	NA	NA
TARGET-20-PARCEA-09	NA	NA
TARGET-20-PARCIN-09	NA	NA
TARGET-20-PARCRW-03	NA	NA
TARGET-20-PARCTW-09	NA	NA
TARGET-20-PARCZP-09	NA	NA
TARGET-20-PARDFM-03	NA	NA
TARGET-20-PARDKT-09	NA	NA
TARGET-20-PARDLW-03	NA	NA
TARGET-20-PARDPM-03	NA	NA
TARGET-20-PARDRM-03	NA	NA
TARGET-20-PARDYL-09	NA	NA
TARGET-20-PARDYW-09	NA	NA
TARGET-20-PAREEC-09	NA	NA
TARGET-20-PAREHK-03	NA	NA
TARGET-20-PAREHP-09	NA	NA
TARGET-20-PAREWJ-09	NA	NA
TARGET-20-PARFJN-09	NA	NA
TARGET-20-PARFKS-09	NA	NA
